"DOI","Subfield","Methodology"
"10.1016/j.neubiorev.2019.09.020","Physiological_Psychology_and_Neuropsychology Animal_Psychology Experimental_Psychology","theoretical_discussion"
"10.1186/s13063-016-1596-6","Clinical_Psychology",NA
"10.1007/s10862-019-09757-8","Clinical_Psychology","quantitative_study"
"10.1038/npp.2015.160","Physiological_Psychology_and_Neuropsychology","experimental_study"
"10.1159/000339136","Clinical_Psychology","quantitative_study"
"10.1038/s41386-019-0552-z","Experimental_Psychology Physiological_Psychology_and_Neuropsychology","randomized_experimental_study"
"10.1007/s00278-017-0168-x","Clinical_Psychology","overview"
"10.1026/1616-3443.36.3.164","Clinical_Psychology","literature_review theoretical_study"
"10.1016/j.brat.2017.06.005","Clinical_Psychology","experimental_study"
"10.1007/s00278-019-00379-9","Family Psychological_and_Physical_Disorders","overview"
"10.1007/s00213-018-5116-0","Physiological_Psychology_and_Neuropsychology Experimental_Psychology Clinical_Psychology","literature_review"
"10.1002/jclp.22204","Clinical_Psychology Artificial_Intelligence_in_Psychology","illustrative_case_report"
"10.1026/1616-3443/a000214","other_Disorders","overview"
"10.1097/yco.0000000000000218","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","literature_review"
"10.3389/fpsyg.2018.00074","Clinical_Psychology","experimental_study multicenter_study"
"10.1007/s00278-015-0004-0","Clinical_Psychology","theoretical_discussion"
"10.1002/eat.23024","Clinical_Psychology","multicenter_study experimental_study"
"10.1024/1016-264x.14.4.217","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","overview"
"10.1186/s13063-019-3815-4","Clinical_Psychology",NA
"10.3389/fpsyt.2018.00159","Clinical_Psychology","overview"
"10.1016/j.jbtep.2019.101546","Clinical_Psychology","randomized_experimental_study"
"10.1080/10503307.2017.1397796","Clinical_Psychology","experimental_study"
"10.3389/fpsyg.2018.00824","Clinical_Psychology","experimental_study"
"10.1027/2151-2604/a000309","Clinical_Psychology","overview"
"10.1176/appi.ajp.2014.13111495","Rehabilitation_Psychology Clinical_Psychology",NA
"10.1111/papt.12219","Clinical_Psychology Experimental_Psychology","quantitative_study"
"10.1016/j.jpsychires.2018.03.001","Clinical_Psychology","quantitative_study"
"10.1186/1471-244x-14-20","Clinical_Psychology",NA
"10.1007/s00115-016-0169-y","Psychological_and_Physical_Disorders Clinical_Psychology",NA
"10.32872/cpe.v2i2.2997","Social_Psychology Experimental_Psychology","randomized_experimental_study registered_study"
"10.1016/j.jbtep.2018.04.002","Experimental_Psychology Clinical_Psychology","experimental_study"
"10.1016/j.janxdis.2009.10.011","Clinical_Psychology","overview theoretical_discussion"
"10.1016/j.janxdis.2020.102331","Clinical_Psychology","randomized_experimental_study"
"10.1016/j.psyneuen.2010.05.003","Clinical_Psychology Animal_Psychology","theoretical_discussion"
"10.1026//0943-8149.9.4.168","Clinical_Psychology","quantitative_study"
"10.18725/oparu-9704","Health_Psychology Experimental_Psychology Developmental_Psychology","quantitative_study"
"10.1371/journal.pone.0192802","Clinical_Psychology","experimental_study"
"10.1159/000346611","Clinical_Psychology Personality_Psychology","literature_review theoretical_discussion"
"10.1016/j.nlm.2017.05.008","Experimental_Psychology Physiological_Psychology_and_Neuropsychology Clinical_Psychology","experimental_study"
"10.1055/s-0029-1202781","Clinical_Psychology",NA
"10.1111/jopy.12012","Clinical_Psychology","literature_review"
"10.1037/ccp0000321","Clinical_Psychology","longitudinal_study"
"10.1007/s10608-018-9934-5","Clinical_Psychology","randomized_experimental_study"
"10.1007/s11920-016-0667-4","Clinical_Psychology","literature_review"
"10.1017/s0033291718002106","Clinical_Psychology Experimental_Psychology","experimental_study"
"10.1007/s00278-016-0112-5","Clinical_Psychology","overview"
"10.1159/000430772","Clinical_Psychology","overview"
"10.1097/j.pain.0000000000001134","other_Disorders Clinical_Psychology","data_reanalysis longitudinal_study"
"10.1016/j.jbtep.2015.07.007","other_Disorders Clinical_Psychology","clinical_case_report quantitative_study"
"10.1017/s1352465813000672","Clinical_Psychology","experimental_study"
"10.1111/jsr.13199","Clinical_Psychology Health_Psychology","randomized_experimental_study"
"10.1111/papt.12254","Clinical_Psychology","experimental_study"
"10.1016/j.jad.2018.06.025","Clinical_Psychology","randomized_experimental_study"
"10.1024/0939-5911.a000111","Rehabilitation_Psychology Clinical_Psychology","quantitative_study"
"10.7717/peerj.1934","Personality_Psychology Clinical_Psychology","experimental_study"
"10.1016/j.jpsychires.2019.09.016","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","quasi-experimental_study"
"10.1016/j.brat.2018.07.002","other_Disorders Clinical_Psychology","experimental_study"
"10.1136/bmjopen-2017-019964","Clinical_Psychology",NA
"10.1159/000365472","Clinical_Psychology","overview literature_review"
"10.1080/15374416.2016.1239539","Clinical_Psychology Developmental_Psychology","theoretical_discussion"
"10.1097/yco.0000000000000220","Clinical_Psychology","literature_review"
"10.1097/psy.0b013e31815aa325","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","experimental_study"
"10.1007/s00115-019-00808-9","Clinical_Psychology","theoretical_discussion"
"10.1007/s10608-020-10130-3","Clinical_Psychology","quantitative_study"
"10.1186/1471-244x-10-99","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","quantitative_study"
"10.1371/journal.pone.0192837","Clinical_Psychology Experimental_Psychology","experimental_study"
"10.1002/cpp.2325","Clinical_Psychology",NA
"10.1186/1745-6215-14-144","Clinical_Psychology",NA
"10.1159/000056635","Physiological_Psychology_and_Neuropsychology other_Disorders Clinical_Psychology","overview"
"10.1037/emo0000518","Clinical_Psychology Social_Psychology Personality_Psychology","experimental_study registered_study"
"10.1055/s-0043-104768","Clinical_Psychology other_Disorders","quantitative_study"
"10.1016/j.brat.2019.103475","Methodology Experimental_Psychology Media_Psychology","quantitative_study"
"10.1016/j.brat.2014.07.011","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","literature_review"
"10.1159/000381574","Clinical_Psychology","overview theoretical_discussion"
"10.1186/s40337-020-00305-4","Clinical_Psychology","randomized_experimental_study"
"10.1007/s00278-020-00402-4","Clinical_Psychology",NA
"10.1037/ccp0000340","Clinical_Psychology","longitudinal_study registered_study"
"10.1017/s0033291713001748","Clinical_Psychology","quantitative_study"
"10.21706/aep-15-3-149","Clinical_Psychology Personality_Psychology","overview"
"10.1177/2043808719850733","Clinical_Psychology Experimental_Psychology","experimental_study"
"10.1159/000501621","Clinical_Psychology other_Disorders","quantitative_study registered_study"
"10.1026/1616-3443.37.4.221","Clinical_Psychology Experimental_Psychology","overview theoretical_study"
"10.1002/ejp.1326","other_Disorders Clinical_Psychology","randomized_experimental_study"
"10.1002/mpr.1409","Clinical_Psychology","theoretical_study"
"10.1038/s41398-019-0455-0","Experimental_Psychology Physiological_Psychology_and_Neuropsychology","experimental_study registered_study"
"10.1016/j.janxdis.2016.10.008","Clinical_Psychology","theoretical_study"
"10.1093/clipsy.9.3.312","Clinical_Psychology","theoretical_discussion"
"10.1186/1745-6215-14-68","Clinical_Psychology",NA
"10.1016/j.psychres.2005.08.022","Clinical_Psychology Experimental_Psychology","longitudinal_study"
"10.1186/s13063-016-1570-3","other_Disorders Clinical_Psychology",NA
"10.1037/ccp0000502","Clinical_Psychology","randomized_experimental_study"
"10.3389/fpsyg.2020.519330","Clinical_Psychology Personality_Psychology Experimental_Psychology","quantitative_study quasi-experimental_study"
"10.1371/journal.pone.0199957","Clinical_Psychology Personality_Psychology","quantitative_study"
"10.1177/1740774517729161","Clinical_Psychology","experimental_study"
"10.1016/j.psyneuen.2018.09.015","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","experimental_study"
"10.1024/1422-4917/a000146","Clinical_Psychology","literature_review"
"10.1186/s12888-016-1136-7","Clinical_Psychology","experimental_study"
"10.1017/sjp.2017.41","Experimental_Psychology Methodology","theoretical_discussion methodological_study"
"10.15496/publikation-19644","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","experimental_study"
"10.1038/s41398-020-0786-x","Clinical_Psychology Experimental_Psychology Physiological_Psychology_and_Neuropsychology","randomized_experimental_study"
"10.1026/1616-3443.36.1.46","other_Disorders","quantitative_study"
"10.1007/s00278-019-0366-9","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","theoretical_discussion"
"10.1016/j.jad.2016.01.047","Clinical_Psychology","experimental_study"
"10.1186/s13063-020-4229-z","Clinical_Psychology","randomized_experimental_study"
"10.1024/0939-5911/a000721","Clinical_Psychology","theoretical_study"
"10.1002/eat.23280","Clinical_Psychology","randomized_experimental_study"
"10.1016/j.jbtep.2012.06.003","Clinical_Psychology",NA
"10.1027/2151-2604/a000447","Social_Psychology Clinical_Psychology","overview theoretical_discussion"
"10.32872/cpe.v1i1.32605","Clinical_Psychology","overview theoretical_discussion"
"10.1016/j.biopsych.2019.04.010","Physiological_Psychology_and_Neuropsychology","randomized_experimental_study"
"10.17169/refubium-1325","Social_Psychology Clinical_Psychology","quasi-experimental_study quantitative_study"
"10.1186/1471-244x-7-13","Clinical_Psychology Media_Psychology",NA
"10.1186/s13643-020-01337-2","Clinical_Psychology",NA
"10.1073/pnas.1018214108","Clinical_Psychology","experimental_study"
"10.1002/da.22808","Clinical_Psychology Social_Psychology","overview"
"10.3389/fpsyg.2019.00495","Clinical_Psychology Methodology","theoretical_discussion"
"10.1159/000496944","Clinical_Psychology",NA
"10.1111/psyp.13474","Clinical_Psychology Physiological_Psychology_and_Neuropsychology","overview"
"10.1136/ebmental-2020-300219",NA,NA
"10.1176/appi.ajp.2013.12111484","Clinical_Psychology Physiological_Psychology_and_Neuropsychology",NA
"10.1007/s00213-019-05301-4","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","experimental_study"
"10.1016/j.beth.2022.07.004","Clinical_Psychology",NA
"10.1016/j.biopsych.2022.04.010","Clinical_Psychology"," quantitative_study"
"10.1016/j.brat.2022.104155","Clinical_Psychology",NA
"10.1177/2470547020905787","Clinical_Psychology",NA
"10.1037/adb0000642","Clinical_Psychology"," followup_study quantitative_study treatment_outcome"
"10.1016/j.jbtep.2022.101747","Clinical_Psychology"," quantitative_study"
"10.1016/j.cpr.2022.102163","Clinical_Psychology","literature_review systematic_review"
"10.1016/j.brat.2022.104131","Clinical_Psychology"," quantitative_study"
"10.1016/j.biopsych.2022.04.004","Clinical_Psychology",NA
"10.1016/j.brat.2022.104069","Clinical_Psychology",""
"10.3389/fpsyg.2020.547852","Clinical_Psychology"," followup_study interview quantitative_study"
"10.3389/fpsyg.2020.603385","Clinical_Psychology"," mathematical_model"
"10.1016/j.neubiorev.2022.104578","Clinical_Psychology","literature_review"
"10.1159/000509488","Clinical_Psychology","literature_review"
"10.1177/09637214211051363","Clinical_Psychology",NA
"10.1038/s41386-021-01263-4","Clinical_Psychology Physiological_Psychology_and_Neuropsychology"," literature_review quantitative_study"
"10.1016/j.jcbs.2022.02.001","Social_Psychology"," quantitative_study"
"10.1177/1745691621995752","Clinical_Psychology",NA
"10.1002/cpp.2719","Clinical_Psychology",NA
"10.1037/bdb0000108","Clinical_Psychology"," quantitative_study"
"10.1037/ccp0000674","Clinical_Psychology"," quantitative_study"
"10.2147/ndt.s271842","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1016/j.jaac.2021.05.022","Clinical_Psychology","clinical_trial  followup_study interview quantitative_study"
"10.1037/ccp0000700","Clinical_Psychology"," quantitative_study"
"10.1037/tps0000301","Clinical_Psychology","literature_review systematic_review"
"10.1037/tps0000291","Clinical_Psychology"," quantitative_study treatment_outcome"
"10.1037/hea0001095","Health_Psychology",NA
"10.1007/s10608-021-10222-8","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1038/s41386-021-01222-z","Physiological_Psychology_and_Neuropsychology",NA
"10.1002/da.23167","Psychological_and_Physical_Disorders Clinical_Psychology","clinical_trial  quantitative_study treatment_outcome"
"10.1002/da.23170","Clinical_Psychology"," quantitative_study"
"10.1016/j.brat.2021.103968","Clinical_Psychology","clinical_trial  qualitative_study quantitative_study"
"10.1037/cps0000003","Personality_Psychology Clinical_Psychology",NA
"10.1037/bdb0000102","Clinical_Psychology"," interview quantitative_study"
"10.1016/j.jad.2021.07.005","Clinical_Psychology","literature_review"
"10.1111/psyp.13899","Physiological_Psychology_and_Neuropsychology Experimental_Psychology"," quantitative_study"
"10.1016/j.neubiorev.2021.05.022","Clinical_Psychology","literature_review"
"10.1093/schbul/sbaa006","Clinical_Psychology"," quantitative_study"
"10.1002/jaba.824","Clinical_Psychology"," quantitative_study"
"10.3389/fpsyt.2019.00599","Clinical_Psychology",NA
"10.1002/da.23204","Clinical_Psychology",NA
"10.1016/j.jpain.2021.04.012","Health_Psychology",NA
"10.1016/j.chc.2021.04.014","Clinical_Psychology",NA
"10.1037/bdb0000101","Clinical_Psychology"," followup_study quantitative_study"
"10.1176/appi.ajp.2020.19121231","Clinical_Psychology",NA
"10.1016/j.brat.2021.103827","Clinical_Psychology"," quantitative_study"
"10.3389/fnbeh.2021.626906","Clinical_Psychology","literature_review"
"10.1016/j.cpr.2020.101952","Clinical_Psychology",NA
"10.1177/0013164420919898","Clinical_Psychology","brain_imaging  quantitative_study"
"10.1016/j.conb.2020.11.007","Physiological_Psychology_and_Neuropsychology Clinical_Psychology",NA
"10.1002/da.23119","Clinical_Psychology"," quantitative_study"
"10.1002/jaba.780","Clinical_Psychology"," quantitative_study"
"10.1002/da.23089","Health_Services","clinical_trial  quantitative_study treatment_outcome"
"10.1037/int0000239","Clinical_Psychology",NA
"10.1037/hea0001022","Clinical_Psychology",NA
"10.1037/abn0000465","Clinical_Psychology",NA
"10.1080/15267431.2020.1826485","Health_Psychology"," followup_study interview "
"10.1017/s0033291720000550","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1016/j.biopsych.2020.08.030","Clinical_Psychology",NA
"10.1016/j.cbpra.2020.09.011","Clinical_Psychology",NA
"10.1016/j.cpr.2020.101908","Clinical_Psychology","literature_review"
"10.1016/j.brat.2020.103730","Clinical_Psychology","clinical_trial  quantitative_study treatment_outcome"
"10.1007/s40616-020-00137-y","Clinical_Psychology"," quantitative_study"
"10.1002/jaba.678","Clinical_Psychology"," experimental_replication quantitative_study"
"10.1017/s1754470x2000032x","Clinical_Psychology",NA
"10.1016/j.ejpsy.2019.11.003","Clinical_Psychology",NA
"10.1007/s10488-020-01058-7","Clinical_Psychology",NA
"10.1037/cpp0000326","other_Disorders Clinical_Psychology"," quantitative_study treatment_outcome"
"10.1016/j.cpr.2020.101860","Clinical_Psychology","literature_review"
"10.1002/ejp.1604","other_Disorders",NA
"10.1016/j.psyneuen.2020.104657","Clinical_Psychology"," quantitative_study"
"10.1146/annurev-clinpsy-050718-095530","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","literature_review"
"10.1016/s2215-0366%2820%2930170-x","Clinical_Psychology",NA
"10.1016/j.brat.2020.103607","Clinical_Psychology","brain_imaging clinical_trial  quantitative_study"
"10.1007/s10567-020-00314-4","Clinical_Psychology"," quantitative_study"
"10.1037/tps0000217","Experimental_Psychology","literature_review"
"10.1037/tps0000224","Experimental_Psychology",NA
"10.1037/tps0000218","Educational_Psychology",NA
"10.1037/ccp0000488","Clinical_Psychology"," quantitative_study"
"10.1016/j.cpr.2020.101824","Clinical_Psychology",NA
"10.1037/ccp0000484","Clinical_Psychology","clinical_trial  followup_study interview quantitative_study"
"10.1016/j.brat.2019.103545","Clinical_Psychology",NA
"10.1007/s10567-019-00310-3","Psychological_and_Physical_Disorders"," interview focus_group  quantitative_study"
"10.1037/emo0000675","Experimental_Psychology Clinical_Psychology",NA
"10.1002/jeab.573","Animal_Psychology Clinical_Psychology",NA
"10.1002/jeab.567","Clinical_Psychology"," quantitative_study"
"10.1002/jeab.565","Clinical_Psychology"," quantitative_study"
"10.1037/pha0000306","Clinical_Psychology","clinical_trial  qualitative_study quantitative_study"
"10.1002/jaba.595","Clinical_Psychology"," quantitative_study"
"10.1037/int0000108","Clinical_Psychology",NA
"10.1037/abn0000406","Clinical_Psychology","meta-analysis"
"10.1017/s0954579419000300","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1093/jpepsy/jsy083","Clinical_Psychology",NA
"10.1136/gpsych-2019-100136","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","literature_review"
"10.1002/anzf.1392","Clinical_Psychology",NA
"10.2196/13606","Clinical_Psychology","literature_review"
"10.1080/15538605.2019.1662358","Clinical_Psychology",NA
"10.1016/j.copsyc.2018.12.004","Health_Psychology",NA
"10.1037/ccp0000390","Clinical_Psychology","clinical_trial  followup_study quantitative_study"
"10.1007/s40894-018-0092-5","Clinical_Psychology","literature_review"
"10.1016/j.brat.2019.103417","Methodology Clinical_Psychology",NA
"10.1016/j.brat.2019.103416","Clinical_Psychology"," quantitative_study"
"10.1037/tps0000199","Clinical_Psychology","literature_review"
"10.1016/j.jcbs.2019.07.003","Rehabilitation_Psychology","literature_review systematic_review meta-analysis"
"10.1556/2006.8.2019.27","Clinical_Psychology",NA
"10.1016/j.brat.2019.04.008","Clinical_Psychology",NA
"10.1038/s41380-019-0383-7","Physiological_Psychology_and_Neuropsychology Clinical_Psychology",NA
"10.1016/j.brat.2019.103411","Clinical_Psychology","literature_review"
"10.1146/annurev-clinpsy-050718-095634","Clinical_Psychology","literature_review"
"10.1016/j.janxdis.2019.02.005","Clinical_Psychology"," quantitative_study"
"10.1037/ccp0000396","Clinical_Psychology","clinical_trial  followup_study quantitative_study"
"10.1521/pdps.2019.47.1.53","Clinical_Psychology",NA
"10.1016/j.neubiorev.2019.01.007","Clinical_Psychology","literature_review"
"10.1037/ccp0000394","Clinical_Psychology"," quantitative_study"
"10.1177/2167702618772296","Clinical_Psychology",NA
"10.1016/j.brat.2018.11.010","Clinical_Psychology","clinical_trial  longitudinal_study "
"10.1002/jeab.488","Clinical_Psychology"," quantitative_study"
"10.1016/j.janxdis.2018.10.006","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1007/s10802-018-0494-7","Clinical_Psychology"," quantitative_study"
"10.1016/j.cbpra.2018.05.001","Clinical_Psychology",NA
"10.1002/cpp.2340","Clinical_Psychology",NA
"10.1016/j.biopsych.2018.09.004","Clinical_Psychology","literature_review"
"10.1016/j.brat.2018.10.005","Clinical_Psychology",NA
"10.1002/dev.21775","Physiological_Psychology_and_Neuropsychology",NA
"10.1016/j.cpr.2018.08.005","Clinical_Psychology","literature_review"
"10.1016/j.jad.2018.08.016","Clinical_Psychology","brain_imaging  quantitative_study treatment_outcome"
"10.1080/02699931.2018.1502656","Clinical_Psychology","literature_review"
"10.1016/j.cbpra.2018.04.003","Clinical_Psychology"," quantitative_study treatment_outcome"
"10.1007/s11121-017-0851-8","Health_Psychology",NA
"10.1037/ccp0000273","Clinical_Psychology","clinical_trial  followup_study quantitative_study"
"10.1016/j.psychres.2018.10.015","Clinical_Psychology","clinical_trial  quantitative_study"
"10.3389/fpsyt.2018.00548","Clinical_Psychology",NA
"10.1002/anzf.1333","Clinical_Psychology",NA
"10.1038/mp.2017.23","Clinical_Psychology"," quantitative_study"
"10.1037/ccp0000347","Rehabilitation_Psychology","clinical_trial  quantitative_study"
"10.1037/ccp0000341","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1037/ccp0000311","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1037/ccp0000309","Clinical_Psychology","brain_imaging clinical_trial  followup_study quantitative_study"
"10.1037/ccp0000310","Clinical_Psychology"," followup_study quantitative_study"
"10.1037/ccp0000312","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1037/ccp0000320","Clinical_Psychology"," quantitative_study"
"10.1037/ccp0000308","Clinical_Psychology"," interview focus_group quantitative_study"
"10.1176/appi.neuropsych.17100200","Clinical_Psychology",NA
"10.1016/s2215-0366%2818%2930270-0","Clinical_Psychology","literature_review"
"10.3389/fpsyt.2018.00513","Physiological_Psychology_and_Neuropsychology Clinical_Psychology",NA
"10.1002/jaba.499","Clinical_Psychology"," quantitative_study"
"10.1037/tps0000163","Clinical_Psychology","clinical_case_study"
"10.1007/s10567-018-0267-4","Clinical_Psychology","literature_review"
"10.1016/j.brat.2018.06.009","Experimental_Psychology"," quantitative_study"
"10.1016/j.brat.2018.07.001","Experimental_Psychology"," quantitative_study"
"10.1111/jep.12915","Clinical_Psychology",NA
"10.1111/jep.12914","Clinical_Psychology",NA
"10.1002/jaba.496","Clinical_Psychology"," quantitative_study"
"10.1016/j.brat.2018.05.009","Clinical_Psychology"," quantitative_study"
"10.1037/bar0000112","Clinical_Psychology",NA
"10.1002/jaba.471","Clinical_Psychology"," quantitative_study"
"10.3389/fpsyt.2018.00176","Clinical_Psychology Military_Psychology",NA
"10.1002/jaba.466","Clinical_Psychology"," quantitative_study"
"10.1177/0269881118754679","Clinical_Psychology"," quantitative_study"
"10.1016/j.beth.2017.09.001","Clinical_Psychology"," followup_study quantitative_study"
"10.1007/s10608-018-9911-z","Clinical_Psychology"," quantitative_study"
"10.1016/j.janxdis.2018.03.004","Clinical_Psychology",NA
"10.1016/j.chiabu.2018.03.002","Clinical_Psychology"," quantitative_study"
"10.1016/j.pnpbp.2018.03.003","Clinical_Psychology",NA
"10.1037/tps0000151","Clinical_Psychology"," followup_study quantitative_study"
"10.1016/j.jbtep.2017.10.006","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1080/15289168.2018.1425588","Clinical_Psychology",NA
"10.1016/s2215-0366%2817%2930513-8","Clinical_Psychology",NA
"10.1037/ccp0000289","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1002/jeab.315","Clinical_Psychology"," quantitative_study"
"10.1016/j.biopsych.2018.01.014","Rehabilitation_Psychology","literature_review"
"10.1037/amp0000185","Clinical_Psychology","literature_review"
"10.1016/j.brat.2017.12.005","Clinical_Psychology",NA
"10.1016/j.jpsychires.2017.12.014","Clinical_Psychology"," interview quantitative_study"
"10.1016/j.euroneuro.2017.10.036","Clinical_Psychology",NA
"10.3389/fpsyg.2017.02350","Clinical_Psychology","literature_review"
"10.1002/da.22690","Clinical_Psychology Health_Psychology",NA
"10.1016/j.cpr.2017.10.010","Clinical_Psychology","literature_review"
"10.1017/s003329171700366x","Clinical_Psychology","clinical_trial  interview quantitative_study"
"10.1037/abn0000266","Clinical_Psychology"," quantitative_study"
"10.1038/npp.2017.119","Clinical_Psychology"," interview quantitative_study"
"10.1002/wps.20442","Clinical_Psychology",NA
"10.1101/lm.044156.116","Physiological_Psychology_and_Neuropsychology Clinical_Psychology","literature_review"
"10.1037/int0000065","Clinical_Psychology",NA
"10.1111/mbe.12153","Educational_Psychology",NA
"10.1016/j.psc.2017.08.009","Clinical_Psychology","literature_review"
"10.2174/2210676607666170607160400","other_Disorders Clinical_Psychology"," quantitative_study"
"10.1176/appi.ajp.2016.16080894","Health_Services","clinical_trial  quantitative_study"
"10.3389/fpsyg.2017.00098","Clinical_Psychology",NA
"10.1097/jcp.0000000000000757","Clinical_Psychology"," quantitative_study"
"10.1038/npp.2016.183","Physiological_Psychology_and_Neuropsychology Clinical_Psychology",NA
"10.1016/j.brat.2017.07.001","Clinical_Psychology","clinical_trial  quantitative_study treatment_outcome"
"10.1016/j.lmot.2017.05.013","Experimental_Psychology"," quantitative_study"
"10.1177/1524839917710454","Health_Psychology"," quantitative_study"
"10.1016/j.janxdis.2017.05.010","Physiological_Psychology_and_Neuropsychology Clinical_Psychology"," quantitative_study"
"10.1177/0145445517696052","Clinical_Psychology"," quantitative_study"
"10.5127/jep.052615","Clinical_Psychology","literature_review"
"10.1016/j.beth.2017.03.002","Clinical_Psychology"," quantitative_study"
"10.1515/revneuro-2016-0070","Health_Psychology",NA
"10.1016/j.beproc.2017.02.013","Clinical_Psychology",NA
"10.1002/mpr.1560","Clinical_Psychology","clinical_trial  followup_study quantitative_study"
"10.1002/jaba.400","Clinical_Psychology",NA
"10.1037/pri0000044","Clinical_Psychology","clinical_case_study"
"10.1146/annurev-clinpsy-032816-044941","Clinical_Psychology","clinical_trial"
"10.1016/j.brat.2017.04.004","Clinical_Psychology","literature_review"
"10.1016/j.brat.2017.02.004","Experimental_Psychology"," quantitative_study"
"10.1080/02699931.2016.1142428","Clinical_Psychology"," quantitative_study"
"10.1016/j.nlm.2017.03.007","Physiological_Psychology_and_Neuropsychology",NA
"10.1016/j.pscychresns.2017.01.005","Clinical_Psychology","brain_imaging  followup_study interview quantitative_study"
"10.1037/ccp0000180","Clinical_Psychology Military_Psychology","clinical_trial  quantitative_study"
"10.1016/j.copsyc.2016.05.001","Clinical_Psychology","literature_review"
"10.1177/1359104515572379","Clinical_Psychology"," interview "
"10.1002/ajmg.b.32467","Clinical_Psychology"," quantitative_study"
"10.1037/int0000038","Clinical_Psychology",NA
"10.1037/tps0000090","Clinical_Psychology"," quantitative_study"
"10.1002/jaba.343","Clinical_Psychology"," quantitative_study"
"10.1016/j.cpr.2016.09.008","Clinical_Psychology",NA
"10.1001/jamapsychiatry.2016.1132","Clinical_Psychology",NA
"10.1016/j.cpr.2016.07.001","Clinical_Psychology",NA
"10.1002/da.22550","Clinical_Psychology",NA
"10.1016/j.brat.2016.08.016","other_Disorders",NA
"10.1016/j.brat.2016.08.015","Clinical_Psychology",NA
"10.1146/annurev-clinpsy-021815-092925","Clinical_Psychology",NA
"10.1037/bar0000054","Clinical_Psychology","clinical_trial  quantitative_study"
"10.1016/s2215-0366%2816%2930080-3","Clinical_Psychology",NA
"10.1111/cpsp.12166","Clinical_Psychology",NA
"10.1017/s1754470x16000118","other_Disorders","clinical_case_study  quantitative_study"
"10.1093/ijnp/pyv128","Physiological_Psychology_and_Neuropsychology Clinical_Psychology"," quantitative_study"
"10.1016/j.biopsych.2015.09.007","Health_Psychology","literature_review"
"10.1002/jaba.338","Clinical_Psychology"," quantitative_study"
"10.1111/famp.12233","Clinical_Psychology","literature_review"
"10.1016/j.nlm.2016.05.007","Physiological_Psychology_and_Neuropsychology"," quantitative_study"
